"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01,yandex,cpc,freemium,103,2230362,100,25,1654810
2023-06-01,yandex,cpc,prof-frontend,78,4456764,73,12,1057000
2023-06-01,yandex,cpc,prof-python,62,2047612,61,7,613196
2023-06-01,yandex,cpc,base-python,31,388244,28,7,476021
2023-06-01,vk,cpc,prof-python,71,143988,40,5,355564
2023-06-01,vk,cpc,freemium-frontend,80,252800,43,5,338083
2023-06-01,yandex,cpc,prof-java,49,1445010,49,4,284590
2023-06-01,yandex,cpc,base-frontend,40,722440,39,3,268515
2023-06-01,vk,cpc,prof-java,51,158865,23,2,232726
2023-06-01,yandex,cpc,prof-data-analytics,14,141204,14,2,220264
2023-06-01,yandex,cpc,prof-professions-brand,13,62634,13,3,154287
2023-06-20,telegram,cpp,base-java,3,0,1,1,151192
2023-06-01,yandex,cpc,dod-php,4,23856,4,1,150255
2023-06-01,yandex,cpc,base-professions-retarget,4,604,4,1,134100
2023-06-07,vk,social,hexlet-blog,3,0,1,1,84000
